
Conexiones activas

  Proto  Direcci¢n local        Direcci¢n remota       Estado
  TCP    127.0.0.1:63529        DESKTOP-HE535NO:63375  TIME_WAIT
  TCP    127.0.0.1:63560        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63567        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63568        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63569        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63570        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63571        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63572        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63573        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63575        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63576        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63578        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63579        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63580        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63581        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63583        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63584        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63585        DESKTOP-HE535NO:63375  TIME_WAIT
  TCP    127.0.0.1:63587        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63588        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63589        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63590        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63591        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63594        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63595        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63596        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63598        DESKTOP-HE535NO:63603  ESTABLISHED
  TCP    127.0.0.1:63599        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63600        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63601        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63602        DESKTOP-HE535NO:49350  TIME_WAIT
  TCP    127.0.0.1:63603        DESKTOP-HE535NO:63598  ESTABLISHED
  TCP    192.168.0.20:58167     212.166.210.80:domain  ESTABLISHED
  TCP    192.168.0.20:61722     20.54.37.73:https      ESTABLISHED
  TCP    192.168.0.20:62243     wb-in-f188:5228        ESTABLISHED
  TCP    192.168.0.20:63275     164:https              ESTABLISHED
  TCP    192.168.0.20:63362     183:https              ESTABLISHED
  TCP    192.168.0.20:63520     mad41s04-in-f14:https  ESTABLISHED
  TCP    192.168.0.20:63545     181:https              ESTABLISHED
  TCP    192.168.0.20:63565     104.18.14.101:http     TIME_WAIT
  TCP    192.168.0.20:63566     192.229.221.95:http    TIME_WAIT
  TCP    192.168.0.20:63593     poolvisp1-vig-49:http  ESTABLISHED
  TCP    192.168.0.20:63597     193.146.123.78:https   CLOSE_WAIT
